time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,247,29,0,0
2026-07-31 00:00:00+00:00,35,7,0,0
2026-08-01 00:00:00+00:00,111,14,0,0
2026-08-02 00:00:00+00:00,117,9,0,0
2026-08-03 00:00:00+00:00,594,20,36,1
2026-08-04 00:00:00+00:00,467,47,2,1
2026-08-05 00:00:00+00:00,17,8,6,2
2026-08-06 00:00:00+00:00,3,2,7,1
2026-08-07 00:00:00+00:00,159,18,5,1
2026-08-08 00:00:00+00:00,19,10,7,1
2026-08-09 00:00:00+00:00,11,6,6,1
2026-08-10 00:00:00+00:00,11,3,0,0
2026-08-11 00:00:00+00:00,18,8,2,2
2026-08-12 00:00:00+00:00,18,8,0,0
