time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-28 00:00:00+00:00,0,0,0,0
2026-06-29 00:00:00+00:00,0,0,0,0
2026-06-30 00:00:00+00:00,0,0,0,0
2026-07-01 00:00:00+00:00,0,0,0,0
2026-07-02 00:00:00+00:00,0,0,0,0
2026-07-03 00:00:00+00:00,0,0,0,0
2026-07-04 00:00:00+00:00,0,0,0,0
2026-07-05 00:00:00+00:00,0,0,0,0
2026-07-06 00:00:00+00:00,0,0,0,0
2026-07-07 00:00:00+00:00,0,0,0,0
2026-07-08 00:00:00+00:00,0,0,0,0
2026-07-09 00:00:00+00:00,6,5,0,0
2026-07-10 00:00:00+00:00,117,12,2,1
2026-07-11 00:00:00+00:00,137,17,0,0
2026-07-12 00:00:00+00:00,664,62,3,1
2026-07-13 00:00:00+00:00,125,17,1,1
2026-07-14 00:00:00+00:00,27,13,0,0
2026-07-15 00:00:00+00:00,96,7,0,0
2026-07-16 00:00:00+00:00,15,6,0,0
2026-07-17 00:00:00+00:00,283,30,2,1
2026-07-18 00:00:00+00:00,234,34,1,1
2026-07-19 00:00:00+00:00,308,32,0,0
2026-07-20 00:00:00+00:00,200,17,0,0
2026-07-21 00:00:00+00:00,21,12,1,1
2026-07-22 00:00:00+00:00,7,6,5,1
2026-07-23 00:00:00+00:00,154,25,0,0
2026-07-24 00:00:00+00:00,465,26,25,2
2026-07-25 00:00:00+00:00,773,47,0,0
2026-07-26 00:00:00+00:00,339,30,5,1
2026-07-27 00:00:00+00:00,781,40,9,1
2026-07-28 00:00:00+00:00,822,47,23,1
2026-07-29 00:00:00+00:00,106,18,3,1
2026-07-30 00:00:00+00:00,247,29,0,0
2026-07-31 00:00:00+00:00,35,7,0,0
2026-08-01 00:00:00+00:00,111,14,0,0
2026-08-02 00:00:00+00:00,117,9,0,0
2026-08-03 00:00:00+00:00,594,20,36,1
2026-08-04 00:00:00+00:00,467,47,2,1
2026-08-05 00:00:00+00:00,17,8,6,2
2026-08-06 00:00:00+00:00,3,2,7,1
2026-08-07 00:00:00+00:00,159,18,5,1
2026-08-08 00:00:00+00:00,19,10,7,1
2026-08-09 00:00:00+00:00,11,6,6,1
2026-08-10 00:00:00+00:00,11,3,0,0
2026-08-11 00:00:00+00:00,18,8,2,2
2026-08-12 00:00:00+00:00,18,8,0,0
2026-08-13 00:00:00+00:00,30,11,0,0
2026-08-14 00:00:00+00:00,9,4,1,1
2026-08-15 00:00:00+00:00,13,7,1,1
